,Date,Index_Component_Count,Internal_Number,ISIN,SEDOL,Instrument_Name,Country,Currency,ICB,Mcap_Units_Index_Currency,InfoCode,Close_USD_Cutoff,shares_Cutoff,freeFloat_Cutoff,Free_Float,Capfactor,Free_Float_Market_Cutoff,Full_Market_Cap_Cutoff,FOR_FF,Source,Weight,Mcap_Units_Index_Currency_Open
0,2023-12-18,2027,AE23IB,AEE001901017,BDG197,EMAAR DEVELOPMENT PJSC,AE,AED,35101010.0,1620601093.0,302129.0,1.859892021382,4000000000.0,0.2084,0.2084,1.0,1550405989.024035,7439568085.527999,0.21,SMALL Cap Index,0.0011753198997745376,1622864234.0
1,2023-12-18,2027,AE301S,AEE01110S227,BJN595,SALIK COMPANY,AE,AED,50206060.0,1581398066.0,358090.0,0.87139889728,7500000000.0,0.25,0.249,1.0,1627337440.6704,6535491729.599999,0.25,SMALL Cap Index,0.0011452844393197244,1581391717.0
2,2023-12-18,2027,AE20XN,AEN000401010,662583,NATMARINE DREDGING CO,AE,AED,50101010.0,1515194360.0,160475.0,7.510369245931999,825000000.0,0.2489,0.2489,1.0,1542197996.8827915,6196054627.893899,0.25,SMALL Cap Index,0.001117584224185171,1543143672.0
3,2023-12-18,2027,BR00FH,BRBRFSACNOR8,203699,BRF SA,BR,BRL,45102020.0,2008330179.0,55.0,2.972263047892,1682473246.0,0.5413,0.4243,1.0,2121819522.5741937,5000753058.152707,0.42,SMALL Cap Index,0.001420735919266652,1961731023.0
4,2023-12-18,2027,IN10BH,INE811K01011,B4T3LF,Prestge Ests,IN,INR,35101010.0,2411625029.0,242999.0,12.03446677316,400861654.0,0.4387,0.4387,1.0,2116357349.3742564,4824156255.69696,0.44,SMALL Cap Index,0.0017076808298131393,2357940287.0
5,2023-12-18,2027,AE303U,AEE01134E227,BPYSVC,EMIRATES CENTRAL COOLING SYSTEMS,AE,AED,50101025.0,925761600.0,359283.0,0.4493150564099999,10000000000.0,0.2,0.2,1.0,898630112.8199999,4493150564.099999,0.2,SMALL Cap Index,0.0006744013848035231,931203400.0
6,2023-12-18,2027,EG8013,EGS39061C014,BWSW8F,MISR FRETILIZERS,EG,EGP,55201015.0,645130426.0,281849.0,17.9288646664,229117232.0,0.1662,0.1662,1.0,682718328.68357,4107811845.2681713,0.17,SMALL Cap Index,0.00045995721621334355,635102082.0
7,2023-12-18,2027,IN104A,INE002L01015,B3Y50F,Satluj Jal Vid,IN,INR,65101010.0,800412581.0,231544.0,1.017821382728,3929795175.0,0.1323,0.1815,1.0,725969064.9324225,3999829558.856323,0.18,SMALL Cap Index,0.0005997859886925331,828175571.0
8,2023-12-18,2027,ZA00MV,ZAE000015228,641056,HARMONY GOLD MNG.,ZA,ZAR,55103025.0,2068135802.0,47478.0,6.17045526658,618071972.0,0.776,0.7524,0.7448494,2137339525.7145443,3813785454.7528863,0.56,SMALL Cap Index,0.0015693111800927498,2166881533.0
9,2023-12-18,2027,MX024P,MX01PI000005,239338,Promotora y Opr,MX,MXN,50101010.0,1960726393.0,28336.0,9.848335199976,380123523.0,0.4959,0.4959,0.9881024,1834356022.958192,3743583871.8997874,0.49,SMALL Cap Index,0.0013524753446590592,1867477837.0
10,2023-12-18,2027,TW117Y,TW0003036000,629099,WT Microelectron,TW,TWD,10102010.0,2020665988.0,21398.0,3.7932152649,974289925.0,0.5228,0.5546,1.0,2049630459.284914,3695691415.948277,0.55,SMALL Cap Index,0.001473042790715802,2033955573.0
11,2023-12-18,2027,MX11M7,MX01Q0000008,BYMXF6,QUALITAS CONTROLADORA,MX,MXN,30302025.0,1933196338.0,262309.0,9.14718531258,400000000.0,0.4996,0.4947,1.0,1810045029.6533303,3658874125.032001,0.49,SMALL Cap Index,0.0014125052280466273,1950366207.0
12,2023-12-18,2027,IN11IP,INE342J01019,B3DGKJ,ZF COMMERCIAL VEHICLE CNTRL IN,IN,INR,40101025.0,885145435.0,169695.0,192.2444911392,18967584.0,0.25,0.25,1.0,911603383.555008,3646413534.220032,0.25,SMALL Cap Index,0.0006459853428668512,891966952.0
13,2023-12-18,2027,IN616I,INE930H01031,BMDP7V,KPR MILL,IN,INR,55101020.0,1255340462.0,138790.0,10.377868940645,341814000.0,0.3589,0.3589,1.0,1273126290.8844616,3547300894.0776305,0.36,SMALL Cap Index,0.0009056108020853439,1250453924.0
14,2023-12-18,2027,IN047G,INE061F01013,B1XC09,Fortis Healthcar,IN,INR,20101010.0,2453339822.0,74883.0,4.620846722835,754958148.0,0.6883,0.6883,1.0,2401166132.0008254,3488545884.063381,0.6900000000000001,SMALL Cap Index,0.0017753982989173792,2451443561.0
15,2023-12-18,2027,AE22B3,AEA003001012,B23DL4,AIR ARABIA,AE,AED,40501010.0,932391530.0,157756.0,0.7325196980259999,4666700000.0,0.5612,0.5612,0.4878831,935971506.3232336,3418449674.777933,0.27,SMALL Cap Index,0.0006853376070537067,946303973.0
16,2023-12-18,2027,SA238F,SA121053DR18,B2QG18,SAUDI MOBILE TELECOM,SA,SAR,15102015.0,1230394261.0,150009.0,3.75850810062,898729175.0,0.6295,0.6295,0.5803018,1233939830.022039,3377880884.501029,0.37,SMALL Cap Index,0.0009012206736772698,1244392100.0
17,2023-12-18,2027,IN50Y8,INE823G01014,B0CJ80,JK CEMENT,IN,INR,50101030.0,1627973113.0,30348.0,43.70228592545,77268251.0,0.4976,0.4455,1.0,1504364042.7809207,3376799198.161438,0.45,SMALL Cap Index,0.0011760841497518624,1623919499.0
